name,Rotation,pitch_name,pitch_usage,Strikes,Pitches,Strikes Rate,Balls Rate
José Ureña,2,4-Seam Fastball,6.3,1088,1761,61.8,38.2
Owen White,2,4-Seam Fastball,49.3,47,69,68.1,31.9
Owen White,2,Slider,14.5,47,69,68.1,31.9
Owen White,2,Changeup,5.8,47,69,68.1,31.9
Owen White,2,Cutter,11.6,47,69,68.1,31.9
Owen White,2,Curveball,14.5,47,69,68.1,31.9
Cole Winn,2,4-Seam Fastball,42.3,195,286,68.2,31.8
Cole Winn,2,Slider,26.6,195,286,68.2,31.8
Cole Winn,2,Split-Finger,21,195,286,68.2,31.8
Cole Winn,2,Sinker,7.3,195,286,68.2,31.8
Kirby Yates,2,4-Seam Fastball,60.7,661,1028,64.3,35.7
Kirby Yates,2,Split-Finger,38.7,661,1028,64.3,35.7
