name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Luis Severino,2,Changeup,7.5,1007,1885,2892,65.2,34.8
Luis Severino,2,Slider,7.0,1007,1885,2892,65.2,34.8
Paul Blackburn,1,Cutter,22.0,153,255,408,62.5,37.5
Paul Blackburn,1,4-Seam Fastball,19.5,153,255,408,62.5,37.5
Paul Blackburn,1,Changeup,18.1,153,255,408,62.5,37.5
Paul Blackburn,1,Slider,16.7,153,255,408,62.5,37.5
Paul Blackburn,1,Sinker,13.6,153,255,408,62.5,37.5
Paul Blackburn,1,Curveball,10.1,153,255,408,62.5,37.5
Phil Maton,2,Curveball,28.8,167,303,470,64.5,35.5
Phil Maton,2,Cutter,35.5,167,303,470,64.5,35.5
Phil Maton,2,Sweeper,22.4,167,303,470,64.5,35.5
Phil Maton,2,Sinker,9.3,167,303,470,64.5,35.5
Phil Maton,2,Slider,4.0,167,303,470,64.5,35.5
Reed Garrett,2,Split-Finger,27.1,375,605,980,61.7,38.3
Reed Garrett,2,Cutter,23.7,375,605,980,61.7,38.3
Reed Garrett,2,4-Seam Fastball,16.5,375,605,980,61.7,38.3
Reed Garrett,2,Sweeper,19.9,375,605,980,61.7,38.3
Reed Garrett,2,Sinker,12.8,375,605,980,61.7,38.3
Ryne Stanek,2,4-Seam Fastball,60.0,104,179,283,63.3,36.7
Ryne Stanek,2,Split-Finger,21.4,104,179,283,63.3,36.7
Ryne Stanek,2,Slider,16.6,104,179,283,63.3,36.7
Ryne Stanek,2,Sinker,2.0,104,179,283,63.3,36.7
Sean Manaea,2,Sinker,44.7,1050,1947,2997,65.0,35.0
Sean Manaea,2,Sweeper,19.2,1050,1947,2997,65.0,35.0
Sean Manaea,2,Changeup,11.8,1050,1947,2997,65.0,35.0
Sean Manaea,2,4-Seam Fastball,11.3,1050,1947,2997,65.0,35.0
Sean Manaea,2,Cutter,7.1,1050,1947,2997,65.0,35.0
Sean Manaea,2,Slider,5.9,1050,1947,2997,65.0,35.0
Sean Reid-Foley,2,4-Seam Fastball,67.3,145,240,385,62.3,37.7
Sean Reid-Foley,2,Changeup,19.7,145,240,385,62.3,37.7
Sean Reid-Foley,2,Slider,12.5,145,240,385,62.3,37.7
Ty Adcock,2,Slider,33.7,32,55,87,63.2,36.8
Ty Adcock,2,4-Seam Fastball,38.4,32,55,87,63.2,36.8
Ty Adcock,2,Cutter,27.9,32,55,87,63.2,36.8
Tylor Megill,2,4-Seam Fastball,46.7,496,871,1367,63.7,36.3
Tylor Megill,2,Cutter,14.3,496,871,1367,63.7,36.3
Tylor Megill,2,Slider,10.9,496,871,1367,63.7,36.3
Tylor Megill,2,Sinker,9.8,496,871,1367,63.7,36.3
Tylor Megill,2,Split-Finger,7.5,496,871,1367,63.7,36.3
Tylor Megill,2,Curveball,7.6,496,871,1367,63.7,36.3
Tylor Megill,2,Changeup,1.5,496,871,1367,63.7,36.3
Tylor Megill,2,Sweeper,1.6,496,871,1367,63.7,36.3
