name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Mike Clevinger,2,Curveball,2.6,112,191,303,63.0,37.0
Nick Nastrini,2,Slider,36.2,338,398,736,54.1,45.9
Nick Nastrini,2,4-Seam Fastball,45.4,338,398,736,54.1,45.9
Nick Nastrini,2,Changeup,9.8,338,398,736,54.1,45.9
Nick Nastrini,2,Curveball,8.6,338,398,736,54.1,45.9
Prelander Berroa,2,Slider,56.6,138,213,351,60.7,39.3
Prelander Berroa,2,4-Seam Fastball,40.5,138,213,351,60.7,39.3
Prelander Berroa,2,Sinker,2.9,138,213,351,60.7,39.3
Sammy Peralta,2,4-Seam Fastball,46.5,103,180,283,63.6,36.4
Sammy Peralta,2,Changeup,22.7,103,180,283,63.6,36.4
Sammy Peralta,2,Sweeper,25.2,103,180,283,63.6,36.4
Sammy Peralta,2,Slider,5.7,103,180,283,63.6,36.4
Sean Burke,2,4-Seam Fastball,40.5,115,194,309,62.8,37.2
Sean Burke,2,Slider,28.5,115,194,309,62.8,37.2
Sean Burke,2,Curveball,24.9,115,194,309,62.8,37.2
Sean Burke,2,Changeup,6.1,115,194,309,62.8,37.2
Steven Wilson,2,Sweeper,51.2,244,379,623,60.8,39.2
Steven Wilson,2,4-Seam Fastball,39.8,244,379,623,60.8,39.2
Steven Wilson,2,Changeup,8.0,244,379,623,60.8,39.2
Touki Toussaint,2,Split-Finger,37.1,207,284,491,57.8,42.2
Touki Toussaint,2,Sinker,25.1,207,284,491,57.8,42.2
Touki Toussaint,2,Curveball,26.1,207,284,491,57.8,42.2
Touki Toussaint,2,4-Seam Fastball,11.6,207,284,491,57.8,42.2
