name,Rotation,pitch_name,pitch_usage,Balls,Strikes,Pitches,Strikes Rate,Balls Rate
Naoyuki Uwasawa,2,Cutter,11.3,25,38,63,60.3,39.7
Naoyuki Uwasawa,2,4-Seam Fastball,22.6,25,38,63,60.3,39.7
Naoyuki Uwasawa,2,Curveball,8.1,25,38,63,60.3,39.7
Nick Pivetta,2,4-Seam Fastball,48.6,802,1586,2388,66.4,33.6
Nick Pivetta,2,Sweeper,25.7,802,1586,2388,66.4,33.6
Nick Pivetta,2,Curveball,16.3,802,1586,2388,66.4,33.6
Nick Pivetta,2,Cutter,5.9,802,1586,2388,66.4,33.6
Nick Pivetta,2,Slider,3.4,802,1586,2388,66.4,33.6
Pablo Reyes,2,Curveball,16.7,9,9,18,50.0,50.0
Quinn Priester,2,Sinker,30.2,31,58,89,65.2,34.8
Quinn Priester,2,Slider,27.9,31,58,89,65.2,34.8
Quinn Priester,2,Changeup,12.9,31,58,89,65.2,34.8
Quinn Priester,2,4-Seam Fastball,14.4,31,58,89,65.2,34.8
Quinn Priester,2,Curveball,14.5,31,58,89,65.2,34.8
Rich Hill,2,Sweeper,36.6,31,40,71,56.3,43.7
Rich Hill,2,Curveball,11.3,31,40,71,56.3,43.7
Rich Hill,2,Sinker,22.5,31,40,71,56.3,43.7
Rich Hill,2,4-Seam Fastball,16.9,31,40,71,56.3,43.7
Rich Hill,2,Cutter,12.7,31,40,71,56.3,43.7
Richard Fitts,2,4-Seam Fastball,44.6,102,212,314,67.5,32.5
Richard Fitts,2,Slider,31.2,102,212,314,67.5,32.5
Richard Fitts,2,Sweeper,13.4,102,212,314,67.5,32.5
Richard Fitts,2,Split-Finger,10.8,102,212,314,67.5,32.5
Tanner Houck,1,Sweeper,41.4,927,1809,2736,66.1,33.9
Tanner Houck,1,Sinker,32.4,927,1809,2736,66.1,33.9
Tanner Houck,1,Split-Finger,24.8,927,1809,2736,66.1,33.9
Tanner Houck,1,Cutter,1.5,927,1809,2736,66.1,33.9
Yohan Ramírez,2,Sinker,40.2,13,16,29,55.2,44.8
