name,Rotation,pitch_name,pitch_usage,Strikes,Pitches,Strikes Rate,Balls Rate
Scott McGough,2,Split-Finger,32.1,359,578,62.1,37.9
Scott McGough,2,Slider,13.9,359,578,62.1,37.9
Scott McGough,2,Sinker,4,359,578,62.1,37.9
Slade Cecconi,2,4-Seam Fastball,54.8,857,1294,66.2,33.8
Slade Cecconi,2,Slider,24,857,1294,66.2,33.8
Slade Cecconi,2,Changeup,12.2,857,1294,66.2,33.8
Slade Cecconi,2,Curveball,8.9,857,1294,66.2,33.8
Thyago Vieira,2,Sinker,40.4,178,278,64,36
Thyago Vieira,2,Slider,36.1,178,278,64,36
Thyago Vieira,2,4-Seam Fastball,22.7,178,278,64,36
Thyago Vieira,2,Changeup,0.8,178,278,64,36
Tommy Henry,2,4-Seam Fastball,32.3,448,706,63.5,36.5
Tommy Henry,2,Curveball,23.8,448,706,63.5,36.5
Tommy Henry,2,Sinker,19,448,706,63.5,36.5
Tommy Henry,2,Changeup,17.7,448,706,63.5,36.5
Tommy Henry,2,Slider,7.2,448,706,63.5,36.5
Yilber Diaz,2,4-Seam Fastball,58,290,469,61.8,38.2
Yilber Diaz,2,Slider,27.3,290,469,61.8,38.2
Yilber Diaz,2,Curveball,14.3,290,469,61.8,38.2
Zac Gallen,1,4-Seam Fastball,46.3,1554,2507,62,38
Zac Gallen,1,Curveball,27.7,1554,2507,62,38
Zac Gallen,1,Changeup,14,1554,2507,62,38
Zac Gallen,1,Slider,8.7,1554,2507,62,38
Zac Gallen,1,Cutter,3.1,1554,2507,62,38
