name,Rotation,pitch_name,pitch_usage,Strikes,Pitches,Strikes Rate,Balls Rate
Kenny Rosenberg,2,Cutter,13.6,253,403,62.8,37.2
Kenny Rosenberg,2,Curveball,5,253,403,62.8,37.2
Patrick Sandoval,2,Changeup,28.3,909,1447,62.8,37.2
Patrick Sandoval,2,Slider,24.7,909,1447,62.8,37.2
Patrick Sandoval,2,Sinker,17.4,909,1447,62.8,37.2
Patrick Sandoval,2,4-Seam Fastball,16,909,1447,62.8,37.2
Patrick Sandoval,2,Curveball,9,909,1447,62.8,37.2
Patrick Sandoval,2,Sweeper,4.6,909,1447,62.8,37.2
Miguel Sanó,2,Curveball,33.3,3,3,100,0
Chase Silseth,1,Split-Finger,19.2,106,167,63.5,36.5
Chase Silseth,1,4-Seam Fastball,42.5,106,167,63.5,36.5
Chase Silseth,1,Sweeper,26.3,106,167,63.5,36.5
Chase Silseth,1,Sinker,9,106,167,63.5,36.5
José Soriano,1,Sinker,46.4,1089,1739,62.6,37.4
José Soriano,1,Curveball,25.4,1089,1739,62.6,37.4
José Soriano,1,4-Seam Fastball,14.6,1089,1739,62.6,37.4
José Soriano,1,Split-Finger,8.1,1089,1739,62.6,37.4
José Soriano,1,Slider,5.5,1089,1739,62.6,37.4
Michael Stefanic,2,Curveball,6.7,9,15,60,40
Hunter Strickland,2,Cutter,31.4,738,1162,63.5,36.5
Hunter Strickland,2,4-Seam Fastball,31.9,738,1162,63.5,36.5
Hunter Strickland,2,Slider,13.1,738,1162,63.5,36.5
Hunter Strickland,2,Sinker,9,738,1162,63.5,36.5
Hunter Strickland,2,Changeup,6.1,738,1162,63.5,36.5
Hunter Strickland,2,Sweeper,8.5,738,1162,63.5,36.5
José Suarez,2,Changeup,24.7,594,990,60,40
José Suarez,2,4-Seam Fastball,39.9,594,990,60,40
José Suarez,2,Sweeper,12.3,594,990,60,40
José Suarez,2,Slider,12.7,594,990,60,40
José Suarez,2,Sinker,8.8,594,990,60,40
José Suarez,2,Cutter,1.5,594,990,60,40
Andrew Wantz,2,Sweeper,28.6,21,35,60,40
Andrew Wantz,2,Cutter,22.9,21,35,60,40
Andrew Wantz,2,Sinker,28.6,21,35,60,40
Andrew Wantz,2,4-Seam Fastball,20,21,35,60,40
Ryan Zeferjahn,2,4-Seam Fastball,35.6,135,208,64.9,35.1
Ryan Zeferjahn,2,Cutter,47.6,135,208,64.9,35.1
Ryan Zeferjahn,2,Sweeper,16.3,135,208,64.9,35.1
Guillo Zuñiga,2,Sinker,34.7,162,271,59.8,40.2
Guillo Zuñiga,2,4-Seam Fastball,32.5,162,271,59.8,40.2
Guillo Zuñiga,2,Changeup,11.1,162,271,59.8,40.2
Guillo Zuñiga,2,Slider,21.8,162,271,59.8,40.2
