name,Rotation,pitch_name,pitch_usage,Strikes,Pitches,Strikes Rate,Balls Rate
Nick Ramirez,2,Sinker,48.5,124,194,63.9,36.1
Nick Ramirez,2,Changeup,27.3,124,194,63.9,36.1
Nick Ramirez,2,Sweeper,23.2,124,194,63.9,36.1
River Ryan,2,4-Seam Fastball,40,183,296,61.8,38.2
River Ryan,2,Slider,22.7,183,296,61.8,38.2
River Ryan,2,Curveball,15.6,183,296,61.8,38.2
River Ryan,2,Sinker,10.2,183,296,61.8,38.2
River Ryan,2,Changeup,8.5,183,296,61.8,38.2
River Ryan,2,Cutter,3.1,183,296,61.8,38.2
Ryan Brasier,2,Slider,42.2,270,375,72,28
Ryan Brasier,2,4-Seam Fastball,29.4,270,375,72,28
Ryan Brasier,2,Sinker,16.3,270,375,72,28
Ryan Brasier,2,Cutter,12,270,375,72,28
Tyler Glasnow,1,4-Seam Fastball,45,1309,2012,65.1,34.9
Tyler Glasnow,1,Slider,27.7,1309,2012,65.1,34.9
Tyler Glasnow,1,Curveball,18.6,1309,2012,65.1,34.9
Tyler Glasnow,1,Sinker,8.7,1309,2012,65.1,34.9
Walker Buehler,2,4-Seam Fastball,29,846,1336,63.3,36.7
Walker Buehler,2,Cutter,20.8,846,1336,63.3,36.7
Walker Buehler,2,Sinker,16.3,846,1336,63.3,36.7
Walker Buehler,2,Curveball,19.2,846,1336,63.3,36.7
Walker Buehler,2,Sweeper,8.2,846,1336,63.3,36.7
Walker Buehler,2,Changeup,5.2,846,1336,63.3,36.7
Walker Buehler,2,Slider,1.3,846,1336,63.3,36.7
Yoshinobu Yamamoto,1,4-Seam Fastball,40.4,981,1474,66.6,33.4
Yoshinobu Yamamoto,1,Split-Finger,24.2,981,1474,66.6,33.4
Yoshinobu Yamamoto,1,Curveball,23.1,981,1474,66.6,33.4
Yoshinobu Yamamoto,1,Cutter,6.1,981,1474,66.6,33.4
Yoshinobu Yamamoto,1,Slider,3.3,981,1474,66.6,33.4
Yoshinobu Yamamoto,1,Sinker,2.9,981,1474,66.6,33.4
Zach Logue,2,4-Seam Fastball,74.4,34,43,79.1,20.9
Zach Logue,2,Curveball,11.6,34,43,79.1,20.9
Zach Logue,2,Sinker,4.7,34,43,79.1,20.9
Zach Logue,2,Cutter,4.7,34,43,79.1,20.9
Zach Logue,2,Changeup,4.7,34,43,79.1,20.9
