name,Rotation,pitch_name,pitch_usage,Strikes,Pitches,Strikes Rate,Balls Rate
Scott Alexander,2,Changeup,12.9,366,568,64.4,35.6
Sean Newcomb,2,4-Seam Fastball,47.3,103,185,55.7,44.3
Sean Newcomb,2,Sinker,12,103,185,55.7,44.3
Sean Newcomb,2,Curveball,16.3,103,185,55.7,44.3
Sean Newcomb,2,Slurve,20.7,103,185,55.7,44.3
Sean Newcomb,2,Changeup,3.8,103,185,55.7,44.3
T.J. McFarland,2,Sinker,48.6,559,837,66.8,33.2
T.J. McFarland,2,Sweeper,38.4,559,837,66.8,33.2
T.J. McFarland,2,Changeup,12.3,559,837,66.8,33.2
T.J. McFarland,2,4-Seam Fastball,0.6,559,837,66.8,33.2
Tyler Ferguson,2,4-Seam Fastball,38.6,536,819,65.4,34.6
Tyler Ferguson,2,Sinker,21.9,536,819,65.4,34.6
Tyler Ferguson,2,Sweeper,24.5,536,819,65.4,34.6
Tyler Ferguson,2,Cutter,12.6,536,819,65.4,34.6
Tyler Ferguson,2,Changeup,2.4,536,819,65.4,34.6
Will Klein,2,4-Seam Fastball,56.8,21,45,46.7,53.3
Will Klein,2,Curveball,29.5,21,45,46.7,53.3
Will Klein,2,Slider,13.7,21,45,46.7,53.3
