name,Rotation,pitch_name,pitch_usage,Strikes,Pitches,Strikes Rate,Balls Rate
Wandy Peralta,2,Changeup,41.8,376,616,61,39
Wandy Peralta,2,Slider,10.1,376,616,61,39
Wandy Peralta,2,4-Seam Fastball,9.1,376,616,61,39
Yu Darvish,1,Slider,23.1,846,1264,66.9,33.1
Yu Darvish,1,4-Seam Fastball,19,846,1264,66.9,33.1
Yu Darvish,1,Sinker,16.8,846,1264,66.9,33.1
Yu Darvish,1,Sweeper,14,846,1264,66.9,33.1
Yu Darvish,1,Curveball,13.6,846,1264,66.9,33.1
Yu Darvish,1,Split-Finger,9,846,1264,66.9,33.1
Yu Darvish,1,Cutter,4.4,846,1264,66.9,33.1
Yuki Matsui,2,4-Seam Fastball,41.1,661,1053,62.8,37.2
Yuki Matsui,2,Slider,26.9,661,1053,62.8,37.2
Yuki Matsui,2,Split-Finger,24.5,661,1053,62.8,37.2
Yuki Matsui,2,Sweeper,6.6,661,1053,62.8,37.2
Yuki Matsui,2,Curveball,1,661,1053,62.8,37.2
